ID;cuenca;year;month;n_transacciones;dec_esc;c_minera;caudal_transado;estival;pp_max;qm3_max;lon;lat;dummy_mina;dummy_escasez;log_puf_mean;SPI;log_puf_mean_lag;dummy_dec_esc_lag;caudal_dummy_escasez;escenario
1;44;2005;2;0;0;0;0,1;1;0;0,352;269252,0606;6645413,775;0;0;4,560947102;0;4,560947102;0;0;base
2;44;2005;3;0;0;0;0,1;1;1,73730083;0,274;269252,0606;6645413,775;0;0;4,560947102;0,158268771;4,560947102;0;0;base
3;44;2005;4;0;0;0;0,1;0;0;0,257;269252,0606;6645413,775;0;0;4,560947102;0;4,560947102;0;0;base
120;45;2005;2;0;0;0;4,1;1;1,242798243;0,224787879;320756,3223;6594510,657;0;0;4,910546583;-0,869100046;4,910546583;0;0;base
121;45;2005;3;0;0;0;4,1;1;35,34997552;0,264818182;320756,3223;6594510,657;0;0;4,910546583;1,647069464;4,910546583;0;0;base
122;45;2005;4;0;0;0;4,1;0;10,85628744;0,257909091;320756,3223;6594510,657;0;0;4,910546583;0,159615541;4,910546583;0;0;base
239;47;2005;2;0;0;0;1,0102156;1;0,02052736;0,549230769;318973,2185;6494678,62;0;0;5,379284593;-1,820352048;5,379284593;0;0;base
240;47;2005;3;0;0;0;1,0102156;1;29,14720746;0,618;318973,2185;6494678,62;0;0;5,379284593;1,748766972;5,379284593;0;0;base
241;47;2005;4;0;0;0;1,0102156;0;6,672504657;0,649153846;318973,2185;6494678,62;0;0;5,379284593;0,086686417;5,379284593;0;0;base
358;48;2005;2;0;0;0;1,2;1;0;0,003;279017,7907;6472141,879;0;0;4,602544357;0;4,602544357;0;0;base
359;48;2005;3;0;0;0;1,2;1;12,62969857;0,006333333;279017,7907;6472141,879;0;0;4,602544357;0,361922565;4,602544357;0;0;base
360;48;2005;4;0;0;0;1,2;0;1,64685204;0,010666667;279017,7907;6472141,879;0;0;4,602544357;-0,91332053;4,602544357;0;0;base
477;51;2005;2;0;0;0;2,5;1;0,000647497;0,1434;315654,723;6433715,872;0;0;4,668043666;-2,639787134;4,668043666;0;0;base
478;51;2005;3;0;0;0;2,5;1;30,97018267;0,15;315654,723;6433715,872;0;0;4,668043666;1,501164443;4,668043666;0;0;base
479;51;2005;4;0;0;0;2,5;0;4,74602211;0,098;315654,723;6433715,872;0;0;4,668043666;-0,370671786;4,668043666;0;0;base
596;52;2005;2;0;0;0;6,2501;1;0,000131567;0,193333333;321601,7251;6409548,844;0;0;5,120246901;-3,097035113;5,120246901;0;0;base
597;52;2005;3;0;0;0;6,2501;1;27,33125836;0,201;321601,7251;6409548,844;0;0;5,120246901;1,356415718;5,120246901;0;0;base
598;52;2005;4;0;0;0;6,2501;0;5,364973307;0,163;321601,7251;6409548,844;0;0;5,120246901;-0,37278737;5,120246901;0;0;base
715;53;2005;2;0;0;0;11,24686667;1;0;0,012;276406,0805;6383100,075;0;0;1,028414233;0;1,028414233;0;0;base
716;53;2005;3;0;0;0;11,24686667;1;9,7788873;0,011;276406,0805;6383100,075;0;0;1,028414233;0,560114989;1,028414233;0;0;base
717;53;2005;4;0;0;0;11,24686667;0;2,2142345;0,011;276406,0805;6383100,075;0;0;1,028414233;-0,676214281;1,028414233;0;0;base
834;54;2005;2;0;0;0;2,836707969;1;0,622400453;1,943923077;344556,3868;6372956,136;0;0;6,006970656;-0,954124682;6,006970656;0;0;base
835;54;2005;3;0;0;0;2,836707969;1;31,74421766;1,707076923;344556,3868;6372956,136;0;0;6,006970656;1,896519221;6,006970656;0;0;base
836;54;2005;4;0;0;0;2,836707969;0;11,86854542;1,1775;344556,3868;6372956,136;0;0;6,006970656;0,12246839;6,006970656;0;0;base
953;55;2005;2;0;0;0;8,0114;1;0,732049668;16,1763913;269807,3844;6315109,157;0;0;7,001109047;-1,088873762;7,001109047;0;0;base
954;55;2005;3;0;0;0;8,0114;1;38,8926179;13,8373913;269807,3844;6315109,157;0;0;7,001109047;1,70205742;7,001109047;0;0;base
955;55;2005;4;0;0;0;8,0114;0;18,97664272;10,82465217;269807,3844;6315109,157;0;0;7,001109047;-0,255429021;7,001109047;0;0;base
1072;57;2005;2;0;0;0;6,7;1;0,732049668;16,1763913;351939,7258;6283636,359;0;0;4,463297299;-1,088873762;4,463297299;0;0;base
1073;57;2005;3;1;0;0;6,7;1;38,8926179;13,8373913;351939,7258;6283636,359;0;0;4,463297299;1,70205742;4,463297299;0;0;base
1074;57;2005;4;0;0;0;3,433333334;0;18,97664272;10,82465217;351939,7258;6283636,359;0;0;4,106366402;-0,255429021;4,463297299;0;0;base
1191;60;2005;2;0;0;0;60;1;0,00562216;10,16215;323883,3901;6190201,379;0;0;4,02149697;-2,317174835;4,02149697;0;0;base
