"","cuenca","year","month","pp_mes"
"1",101,1979,1,38.835925660618
"2",101,1979,2,25.6366317528377
"3",101,1979,3,51.8914107807954
"4",101,1979,4,62.3893707395769
"5",101,1979,5,410.340928584385
"6",101,1979,6,165.072687644938
"7",101,1979,7,424.274821896273
"8",101,1979,8,644.091860674615
"9",101,1979,9,244.119391326
"10",101,1979,10,165.730045345438
"11",101,1979,11,189.139085041301
"12",101,1979,12,189.092588861813
"13",101,1980,1,50.9349039579838
"14",101,1980,2,213.828890257869
"15",101,1980,3,100.135639656382
"16",101,1980,4,335.25961176402
"17",101,1980,5,584.0088120174
"18",101,1980,6,353.083632091977
"19",101,1980,7,345.055851013438
"20",101,1980,8,359.971235505495
"21",101,1980,9,132.212173775722
"22",101,1980,10,19.96204765033
"23",101,1980,11,148.718316076939
"24",101,1980,12,146.532985683923
"25",101,1981,1,183.754227285454
"26",101,1981,2,30.6152198274138
"27",101,1981,3,133.237390416644
"28",101,1981,4,151.912629390415
"29",101,1981,5,744.530385706986
"30",101,1981,6,255.623531520722
"31",101,1981,7,326.338901824838
"32",101,1981,8,180.934059497577
"33",101,1981,9,220.961301701308
"34",101,1981,10,107.453245382666
"35",101,1981,11,69.5980987020231
"36",101,1981,12,85.0686707237893
"37",101,1982,1,121.835738960644
"38",101,1982,2,90.7379309451923
"39",101,1982,3,89.1467799967231
"40",101,1982,4,78.9368733818462
"41",101,1982,5,432.217665653223
"42",101,1982,6,491.199733914254
"43",101,1982,7,505.123101481476
"44",101,1982,8,368.456222439385
"45",101,1982,9,255.540938829315
"46",101,1982,10,225.837246209343
"47",101,1982,11,111.309019721828
"48",101,1982,12,10.7407191344145
"49",101,1983,1,90.4890556321315
"50",101,1983,2,12.0369733743262
"51",101,1983,3,68.2647150126231
"52",101,1983,4,200.347411350586
"53",101,1983,5,210.027685815752
"54",101,1983,6,333.717708407985
"55",101,1983,7,325.590692342308
"56",101,1983,8,257.353985726582
"57",101,1983,9,265.786173778662
"58",101,1983,10,132.303940234372
"59",101,1983,11,8.5432566729
"60",101,1983,12,39.3314100013077
"61",101,1984,1,71.1432281917823
"62",101,1984,2,113.941097589193
"63",101,1984,3,81.0398432260138
"64",101,1984,4,100.821667734892
"65",101,1984,5,497.046502252867
"66",101,1984,6,387.399096195867
"67",101,1984,7,359.558815063916
"68",101,1984,8,134.464339350691
"69",101,1984,9,216.11696508366
"70",101,1984,10,336.770620338761
"71",101,1984,11,73.9634555725008
"72",101,1984,12,60.5428953294211
"73",101,1985,1,103.188638073275
"74",101,1985,2,64.9021756197
"75",101,1985,3,113.95158147568
"76",101,1985,4,248.636852851637
"77",101,1985,5,479.304016595231
"78",101,1985,6,351.932918505752
"79",101,1985,7,219.117618993527
"80",101,1985,8,180.679964775685
"81",101,1985,9,219.954700367408
"82",101,1985,10,125.076460443592
"83",101,1985,11,111.579243019119
"84",101,1985,12,39.7406480430308
"85",101,1986,1,60.7830305135176
"86",101,1986,2,123.207571600362
"87",101,1986,3,107.671639150664
"88",101,1986,4,275.925127663431
"89",101,1986,5,453.882079526295
"90",101,1986,6,445.3996964578
"91",101,1986,7,241.320243829451
"92",101,1986,8,370.552337618705
"93",101,1986,9,182.479519036792
"94",101,1986,10,97.3241979489769
"95",101,1986,11,269.9625655194
"96",101,1986,12,30.6273583177692
"97",101,1987,1,18.56415956351
"98",101,1987,2,40.5414627585385
"99",101,1987,3,174.368602808692
"100",101,1987,4,184.379625043285
"101",101,1987,5,218.160882941822
"102",101,1987,6,283.900544549717
"103",101,1987,7,521.384394972408
"104",101,1987,8,268.358897142185
"105",101,1987,9,177.459967281546
"106",101,1987,10,163.785487981131
"107",101,1987,11,101.189467678908
"108",101,1987,12,67.18921116533
"109",101,1988,1,78.9415483431423
"110",101,1988,2,0.171221364333846
"111",101,1988,3,134.986171231315
"112",101,1988,4,114.659297610023
"113",101,1988,5,139.111410967999
"114",101,1988,6,362.291543751708
"115",101,1988,7,174.887198519638
"116",101,1988,8,355.776661242492
"117",101,1988,9,107.093475823916
"118",101,1988,10,173.799492142067
"119",101,1988,11,48.4979203711769
"120",101,1988,12,92.6560651185154
"121",101,1989,1,45.90971710454
"122",101,1989,2,44.4520124933412
"123",101,1989,3,80.0854302498923
"124",101,1989,4,87.2223567968392
"125",101,1989,5,103.396083543254
"126",101,1989,6,383.379871869115
"127",101,1989,7,354.433453822138
"128",101,1989,8,300.610788737646
"129",101,1989,9,85.1682548038377
"130",101,1989,10,95.2795119452908
"131",101,1989,11,55.5937741949011
"132",101,1989,12,275.201190800569
"133",101,1990,1,53.7013904394462
"134",101,1990,2,70.2833513515062
"135",101,1990,3,155.576594673656
"136",101,1990,4,219.274388154195
"137",101,1990,5,364.607649485634
"138",101,1990,6,275.287965813822
"139",101,1990,7,236.245303506565
"140",101,1990,8,281.175245900073
"141",101,1990,9,296.518363696434
"142",101,1990,10,129.873521445626
"143",101,1990,11,91.0700001094692
"144",101,1990,12,63.3755731470974
"145",101,1991,1,40.8850943665869
"146",101,1991,2,29.3187024115788
"147",101,1991,3,97.1063756859077
"148",101,1991,4,195.781947842572
"149",101,1991,5,459.313232624762
"150",101,1991,6,197.377743632073
